year,successful_runs,population_mean,population_std,population_min,population_max,population_median,population_p05,population_p95,population_ci_95_lower,population_ci_95_upper,population_n,births_mean,births_std,births_min,births_max,births_median,births_p05,births_p95,births_ci_95_lower,births_ci_95_upper,births_n,deaths_mean,deaths_std,deaths_min,deaths_max,deaths_median,deaths_p05,deaths_p95,deaths_ci_95_lower,deaths_ci_95_upper,deaths_n,couples_mean,couples_std,couples_min,couples_max,couples_median,couples_p05,couples_p95,couples_ci_95_lower,couples_ci_95_upper,couples_n,men_mean,men_std,men_min,men_max,men_median,men_p05,men_p95,men_ci_95_lower,men_ci_95_upper,men_n,women_mean,women_std,women_min,women_max,women_median,women_p05,women_p95,women_ci_95_lower,women_ci_95_upper,women_n,breakups_mean,breakups_std,breakups_min,breakups_max,breakups_median,breakups_p05,breakups_p95,breakups_ci_95_lower,breakups_ci_95_upper,breakups_n,growth_rate_pct,births_per_1000,deaths_per_1000,natural_increase,sex_ratio,couple_rate_pct
11,100,652.03,22.893453256776315,597.0,709.0,652.5,614.8,692.2,647.5428831616719,656.5171168383281,100,5.3,3.5118845842842465,0.0,16.0,5.0,1.0,12.049999999999997,4.611670621480288,5.988329378519712,100,10.62,2.901688815120943,3.0,16.0,11.0,5.0,15.0,10.051268992236295,11.188731007763703,100,101.05,6.355423993835041,88.0,115.0,101.0,90.0,111.0,99.80433689720833,102.29566310279166,100,328.04,13.135594329296195,296.0,357.0,328.5,306.9,348.25,325.46542351145797,330.61457648854207,100,323.99,14.397316669182741,294.0,357.0,325.0,299.0,351.0,321.1681259328402,326.8118740671598,100,25.06,4.958046210174147,15.0,39.0,25.0,17.0,34.0,24.088222942805867,26.03177705719413,100,-0.8093101087700671,8.128460346916553,16.28759412910449,-5.319999999999999,101.2500385814377,15.497753170866371
12,100,646.18,21.855068986485502,595.0,700.0,646.5,610.75,687.1,641.8964064786488,650.4635935213511,100,4.83,3.107680287236248,0.0,15.0,4.0,0.9500000000000002,10.049999999999997,4.220894663701696,5.439105336298304,100,10.68,3.489898843719391,3.0,25.0,11.0,4.95,17.0,9.995979826630998,11.364020173369001,100,98.94,7.112117984273196,81.0,113.0,99.0,85.95,109.05,97.54602487508245,100.33397512491754,100,325.21,12.551546244639068,294.0,354.0,325.5,304.95,349.0,322.74989693605073,327.6701030639492,100,320.97,14.263363395550693,287.0,350.0,321.0,296.95,346.05,318.17438077447207,323.765619225528,100,24.01,4.3239875909707095,14.0,37.0,24.0,17.95,31.049999999999997,23.16249843216974,24.857501567830262,100,-0.8971979816879583,7.474697452722152,16.527902442044013,-5.85,101.32099573168831,15.311523105017177
13,100,639.87,21.133369180736256,590.0,692.0,639.0,605.95,678.15,635.7278596405757,644.0121403594243,100,3.84,2.8238522295158104,0.0,13.0,4.0,0.0,8.049999999999997,3.286524963014901,4.393475036985099,100,10.15,3.358616237426215,4.0,20.0,10.0,5.0,15.0,9.491711217464463,10.808288782535538,100,101.85,7.816551979516597,84.0,121.0,101.5,89.0,117.0,100.31795581201474,103.38204418798524,100,322.22,11.908387672968031,293.0,350.0,322.0,302.95,343.05,319.8859560160983,324.55404398390175,100,317.65,13.9134227756269,285.0,348.0,317.0,296.75,343.05,314.9229691359771,320.37703086402286,100,23.65,4.374801582802229,15.0,34.0,24.0,17.0,31.0,22.79253888977076,24.507461110229237,100,-0.9765080937200077,6.0012189976088886,15.862597090033914,-6.3100000000000005,101.43869038249646,15.917295700689202
14,100,635.57,21.747520467047423,588.0,697.0,637.0,603.7,671.4,631.3074859884588,639.8325140115413,100,5.11,3.1104093725177826,0.0,15.0,5.0,1.0,10.0,4.500359762986514,5.719640237013486,100,9.41,3.188030011391887,4.0,19.0,9.0,5.0,15.0,8.78514611776719,10.03485388223281,100,116.61,9.54933494960764,96.0,139.0,116.5,102.0,133.05,114.7383303498769,118.4816696501231,100,320.13,11.865113109065126,294.0,349.0,321.0,301.0,343.1,317.8044378306232,322.4555621693768,100,315.44,14.40280556283421,280.0,352.0,314.0,292.8,340.1,312.6170501096845,318.2629498903155,100,25.02,4.89893824819174,14.0,36.0,25.0,17.0,34.0,24.059808103354417,25.980191896645582,100,-0.6720115023364004,8.040027062322011,14.805607564863035,-4.3,101.48681207202637,18.347310288402536
15,100,635.23,22.45707690306784,588.0,696.0,636.5,598.0,677.05,630.8284129269987,639.6315870730014,100,9.01,4.041439387548986,2.0,20.0,8.5,3.0,16.0,8.2178778800404,9.8021221199596,100,9.35,3.176221629292238,3.0,17.0,9.0,5.0,14.049999999999997,8.72746056065872,9.97253943934128,100,129.02,9.180545966467584,106.0,150.0,130.0,111.95,142.0,127.22061299057236,130.81938700942766,100,320.15,12.57733652008222,288.0,353.0,321.0,302.0,344.0,317.68484204206385,322.6151579579361,100,315.08,15.009545784148989,279.0,352.0,314.0,291.75,340.05,312.1381290263068,318.0218709736932,100,28.2,5.469843866070761,17.0,44.0,28.0,19.95,38.05,27.12791060225013,29.27208939774987,100,-0.05349528769451606,14.183838924484045,14.719078129181556,-0.33999999999999986,101.60911514535991,20.310753585315556
16,100,640.38,23.01417218176924,589.0,703.0,641.5,606.95,683.25,635.8692222523732,644.8907777476268,100,13.85,4.678286399565939,3.0,25.0,14.0,6.95,22.0,12.933055865685075,14.766944134314924,100,8.7,3.1797973380564857,0.0,15.0,9.0,3.0,13.049999999999997,8.076759721740927,9.323240278259071,100,135.52,10.831566289453631,103.0,160.0,135.5,117.95,151.1,133.3970130072671,137.64298699273292,100,322.65,12.537116611457872,284.0,353.0,321.5,304.0,347.05,320.1927251441542,325.10727485584573,100,317.73,15.786360946056945,279.0,359.0,316.5,291.85,346.05,314.63587325457286,320.8241267454272,100,30.63,5.225529792869008,17.0,46.0,31.0,22.0,39.05,29.605796160597674,31.654203839402324,100,0.8107299718212335,21.62778350354477,13.585683500421624,5.15,101.54848456236425,21.16243480433493
17,100,651.99,25.434604201935027,601.0,720.0,653.0,613.9,699.55,647.0048175764207,656.9751824235793,100,20.0,5.939084716749482,6.0,35.0,20.0,11.0,30.049999999999997,18.8359393955171,21.1640606044829,100,8.39,2.7775979739786867,2.0,15.0,8.0,4.0,13.0,7.845590797100178,8.934409202899824,100,140.12,10.205247214402535,114.0,167.0,140.0,123.95,156.0,138.1197715459771,142.1202284540229,100,328.67,13.798005272319237,288.0,362.0,328.0,306.95,354.05,325.9655909666254,331.3744090333746,100,323.32,16.66053220438451,281.0,373.0,322.5,297.0,351.1,320.05453568794064,326.58546431205934,100,32.67,4.938111936251496,22.0,47.0,32.0,24.0,41.0,31.70213006049471,33.63786993950529,100,1.812986039539033,30.675317106090585,12.868295526005,11.61,101.65470741061489,21.491127164527065
18,100,670.18,28.93405249769541,609.0,747.0,670.5,625.9,722.25,664.5089257104516,675.8510742895483,100,26.45,7.708548318050369,10.0,48.0,26.0,15.0,41.0,24.939124529662127,27.96087547033787,100,8.26,2.7473403116248245,2.0,15.0,8.0,4.0,12.049999999999997,7.721521298921534,8.798478701078466,100,143.39,10.7542756355063,116.0,172.0,143.0,128.0,162.05,141.28216197544074,145.49783802455923,100,337.68,15.494463005809006,298.0,370.0,337.0,313.95,363.05,334.6430852508614,340.7169147491386,100,332.5,18.181742424084597,283.0,384.0,332.0,304.95,363.0,328.9363784848794,336.0636215151206,100,33.22,6.032872910608639,18.0,48.0,34.0,22.0,43.05,32.0375569095207,34.402443090479295,100,2.7899200907989252,39.46700886329046,12.325047002297891,18.189999999999998,101.55789473684212,21.39574442687039
19,100,686.96,31.79604193650969,627.0,776.0,689.5,637.9,736.4499999999999,680.7279757804441,693.192024219556,100,25.87,7.164242014083809,12.0,42.0,25.0,15.0,40.0,24.465808565239573,27.27419143476043,100,9.09,2.825193298115577,3.0,19.0,9.0,5.0,13.049999999999997,8.536262113569347,9.643737886430653,100,144.71,10.164599889277046,122.0,174.0,142.0,131.9,161.0,142.7177384217017,146.7022615782983,100,346.12,17.121243228719393,303.0,381.0,347.5,320.95,371.29999999999995,342.764236327171,349.47576367282903,100,340.84,19.68987844379221,291.0,398.0,340.0,311.75,372.05,336.9807838250167,344.69921617498323,100,33.75,5.565723019273662,23.0,51.0,34.0,25.0,41.099999999999994,32.65911828822236,34.84088171177764,100,2.5038049479244595,37.65867008268312,13.232211482473506,16.78,101.54911395376129,21.065273087224874
20,100,702.44,32.701688091601696,640.0,792.0,705.0,653.8,759.05,696.0304691340461,708.849530865954,100,24.94,7.575638786947476,7.0,45.0,24.5,13.0,39.05,23.455174797758296,26.424825202241706,100,9.46,2.7685827610982674,3.0,15.0,9.0,5.0,14.0,8.91735777882474,10.002642221175261,100,146.46,9.978178210677559,122.0,177.0,145.0,132.85,162.2,144.50427707070722,148.4157229292928,100,353.56,17.74073666378421,311.0,389.0,355.0,324.95,381.05,350.0828156138983,357.0371843861017,100,348.88,20.546709535282595,304.0,406.0,348.0,316.85,381.1,344.85284493108463,352.90715506891536,100,32.84,5.972529707846677,21.0,48.0,32.5,23.95,44.05,31.669384177262053,34.010615822737954,100,2.253406311866768,35.5048117988725,13.46734240646888,15.48,101.34143545058474,20.85017937475087
