year,successful_runs,population_mean,population_std,population_min,population_max,population_median,population_p05,population_p95,population_ci_95_lower,population_ci_95_upper,population_n,births_mean,births_std,births_min,births_max,births_median,births_p05,births_p95,births_ci_95_lower,births_ci_95_upper,births_n,deaths_mean,deaths_std,deaths_min,deaths_max,deaths_median,deaths_p05,deaths_p95,deaths_ci_95_lower,deaths_ci_95_upper,deaths_n,couples_mean,couples_std,couples_min,couples_max,couples_median,couples_p05,couples_p95,couples_ci_95_lower,couples_ci_95_upper,couples_n,men_mean,men_std,men_min,men_max,men_median,men_p05,men_p95,men_ci_95_lower,men_ci_95_upper,men_n,women_mean,women_std,women_min,women_max,women_median,women_p05,women_p95,women_ci_95_lower,women_ci_95_upper,women_n,breakups_mean,breakups_std,breakups_min,breakups_max,breakups_median,breakups_p05,breakups_p95,breakups_ci_95_lower,breakups_ci_95_upper,breakups_n,growth_rate_pct,births_per_1000,deaths_per_1000,natural_increase,sex_ratio,couple_rate_pct
21,100,716.1,34.364798761805574,653.0,800.0,716.5,664.8,774.25,709.3644994426861,722.8355005573139,100,23.54,6.196153906442547,10.0,45.0,23.0,14.9,34.05,22.32555383433726,24.75444616566274,100,9.88,3.370340030203469,2.0,19.0,10.0,5.0,16.0,9.219413354080121,10.54058664591988,100,146.68,10.352260281179804,125.0,177.0,146.0,130.0,163.1,144.65095698488878,148.70904301511123,100,360.18,18.529463297705362,315.0,398.0,358.5,332.95,388.05,356.5482251936497,363.8117748063503,100,355.92,21.538633365947973,306.0,409.0,355.0,323.75,394.1,351.6984278602742,360.14157213972584,100,34.62,5.818431181524915,21.0,50.0,34.0,25.95,44.099999999999994,33.47958748842112,35.76041251157888,100,1.9446500768748987,32.87250384024577,13.796955732439603,13.659999999999998,101.19689817936614,20.483172741237258
22,100,726.99,36.05761242985195,662.0,807.0,725.5,667.9,794.1,719.9227079637491,734.0572920362509,100,20.6,6.9660069283092545,8.0,47.0,19.0,11.0,33.0,19.234662642051386,21.965337357948616,100,9.71,3.111708095681096,4.0,18.0,9.0,5.0,15.049999999999997,9.100105213246506,10.319894786753496,100,146.68,10.425183185174467,118.0,172.0,146.0,129.95,164.05,144.6366640957058,148.7233359042942,100,365.96,18.918175750779294,319.0,406.0,363.0,335.95,396.0,362.25203755284724,369.6679624471527,100,361.03,22.61869031387873,309.0,412.0,358.0,325.0,401.0,356.59673669847973,365.4632633015202,100,34.46,5.562173835630974,23.0,47.0,35.0,25.0,44.0,33.36981392821633,35.55018607178367,100,1.5207373271889368,28.33601562607464,13.356442316950716,10.89,101.3655374899593,20.176343553556446
23,100,735.14,36.95506963485756,664.0,817.0,731.5,681.7,807.05,727.8968063515679,742.3831936484321,100,18.52,5.589456163350796,7.0,37.0,18.0,10.95,28.049999999999997,17.424466591983244,19.615533408016756,100,10.37,3.1225960450570707,3.0,18.0,10.0,5.95,16.0,9.757971175168814,10.982028824831184,100,146.7,11.528182419574645,121.0,177.0,146.5,125.95,166.0,144.44047624576336,148.9595237542366,100,370.21,19.19137800938197,320.0,414.0,367.5,339.95,400.15,366.44848991016113,373.97151008983883,100,364.93,23.059981077024485,314.0,421.0,362.5,330.95,408.05,360.4102437089032,369.44975629109683,100,34.4,5.656854249492381,21.0,52.0,34.0,26.0,45.0,33.291256567099495,35.5087434329005,100,1.1210608123908061,25.192480343880078,14.106156650433931,8.15,101.44685282108897,19.955382648203063
24,100,742.21,38.24463915691223,668.0,840.0,737.5,683.85,817.0,734.7140507252452,749.7059492747549,100,17.38,6.571717792744509,5.0,39.0,17.0,8.0,28.049999999999997,16.091943312622075,18.668056687377923,100,10.31,3.1097598075423862,4.0,19.0,10.0,6.0,16.0,9.700487077721693,10.919512922278308,100,148.79,10.47391661666873,120.0,171.0,148.0,131.0,166.05,146.73711234313294,150.84288765686705,100,373.93,20.11494996566514,320.0,419.0,374.0,338.75,407.05,369.9874698067296,377.8725301932704,100,368.28,23.401234535335472,323.0,421.0,366.0,333.85,413.25,363.69335803107424,372.8666419689257,100,33.8,6.20361575896255,20.0,54.0,33.0,25.0,45.099999999999994,32.584091311243334,35.01590868875666,100,0.9617215768425114,23.416553266595702,13.890947306018512,7.0699999999999985,101.53415879222332,20.046886999636218
25,100,744.84,38.21489476392917,676.0,841.0,741.0,684.0,816.2,737.34988062627,752.3301193737301,100,15.55,5.636058153989499,4.0,32.0,15.0,6.0,24.049999999999997,14.445332601818059,16.654667398181942,100,12.92,3.7245567833398963,5.0,23.0,13.0,7.0,19.0,12.18998687046538,13.650013129534619,100,146.13,10.380298938884469,120.0,172.0,146.5,130.95,165.05,144.09546140797863,148.16453859202136,100,375.14,20.72329485132491,322.0,424.0,374.0,342.7,411.0,371.0782342091403,379.20176579085967,100,369.7,23.31362804295489,323.0,422.0,367.0,336.85,412.2,365.13052890358085,374.2694710964191,100,35.67,6.1694178956946315,21.0,50.0,35.0,26.0,45.05,34.460794092443855,36.87920590755615,100,0.3543471524231734,20.87696686536706,17.34600719617636,2.630000000000001,101.47146334866109,19.618978572579344
26,100,744.75,39.300801904070994,668.0,839.0,742.0,685.9,820.1,737.0470428268021,752.4529571731979,100,14.02,5.608399184628481,5.0,33.0,13.5,6.95,24.049999999999997,12.920753759812817,15.119246240187183,100,14.11,3.3990343251332935,7.0,23.0,14.0,8.95,20.049999999999997,13.443789272273873,14.776210727726125,100,145.73,11.301966397244529,122.0,181.0,145.0,127.95,162.05,143.51481458614006,147.94518541385992,100,375.15,20.86095139079934,326.0,425.0,375.0,343.75,410.0,371.0612535274033,379.23874647259663,100,369.6,24.368384883249483,322.0,426.0,366.0,334.95,417.0,364.8237965628831,374.37620343711694,100,34.76,6.097060063189587,22.0,59.0,34.0,25.95,46.0,33.56497622761484,35.955023772385154,100,-0.012083131947804304,18.82510909701242,18.945955018462573,-0.08999999999999986,101.50162337662336,19.56764014770057
27,100,743.2,40.12077725663808,654.0,839.0,741.0,684.0,824.1,735.336327657699,751.0636723423011,100,12.13,4.7090177834500135,3.0,29.0,12.0,5.0,20.049999999999997,11.207032514443798,13.052967485556204,100,13.68,4.032394080469073,6.0,26.0,14.0,8.0,21.0,12.889650760228061,14.470349239771938,100,146.48,10.768903979945819,117.0,181.0,147.0,129.0,162.05,144.36929481993062,148.59070518006936,100,374.44,21.267094134584838,325.0,429.0,373.5,342.4,409.05,370.2716495496214,378.6083504503786,100,368.76,24.66303003495415,323.0,435.0,365.0,333.95,417.05,363.92604611314897,373.593953886851,100,34.23,6.0400264231143215,20.0,48.0,34.0,23.95,45.0,33.04615482106959,35.4138451789304,100,-0.20812353138636164,16.321313240043057,18.406889128094726,-1.549999999999999,101.540297212279,19.709364908503765
28,100,739.89,40.85052699238476,643.0,834.0,735.0,681.95,817.3,731.8832967094926,747.8967032905074,100,10.52,5.0562093039403075,0.0,31.0,10.0,3.95,20.0,9.528982976427699,11.5110170235723,100,13.83,3.6928951714711244,5.0,24.0,14.0,8.0,20.0,13.106192546391659,14.553807453608341,100,144.99,11.76838342699831,119.0,185.0,145.0,125.95,164.05,142.68339684830835,147.29660315169167,100,372.64,21.88007718856992,322.0,427.0,373.0,339.6,406.1,368.3515048710403,376.9284951289597,100,367.25,24.667639210966747,321.0,430.0,363.5,330.9,415.05,362.41514271465053,372.08485728534947,100,35.48,5.51669642031709,25.0,46.0,35.5,27.0,45.0,34.39872750161785,36.561272498382145,100,-0.4453713670613646,14.21832975171985,18.691967724932084,-3.3100000000000005,101.46766507828455,19.59615618537891
29,100,736.49,41.3927956938588,634.0,831.0,733.0,681.95,814.2,728.3770120440037,744.6029879559964,100,9.75,4.413878479560038,2.0,26.0,9.5,3.0,17.0,8.884879818006233,10.615120181993767,100,13.15,4.105613304496736,3.0,27.0,13.0,7.0,20.0,12.34529979231864,13.95470020768136,100,147.2,12.381967990312821,125.0,180.0,146.0,128.95,169.05,144.77313427389868,149.6268657261013,100,371.19,22.41468449048705,317.0,427.0,370.0,336.65,407.1,366.7967218398645,375.5832781601355,100,365.3,24.84273769457819,314.0,421.0,360.5,328.0,414.05,360.43082341186266,370.16917658813736,100,35.55,5.52382351841786,24.0,51.0,35.0,28.0,45.05,34.4673305903901,36.632669409609896,100,-0.45952776764113246,13.238468954093063,17.854960691930643,-3.4000000000000004,101.61237339173282,19.986693641461525
30,100,734.13,41.23440139720545,631.0,828.0,728.0,678.95,813.05,726.0480573261477,742.2119426738523,100,9.89,4.954122862155654,2.0,28.0,9.0,4.0,19.0,8.918991919017492,10.86100808098251,100,12.25,3.739969750863466,4.0,24.0,12.0,6.0,19.0,11.51696592883076,12.98303407116924,100,151.47,12.408416010063004,115.0,186.0,151.5,133.0,173.14999999999998,149.03795046202765,153.90204953797235,100,370.13,22.47227472493898,313.0,425.0,369.5,331.9,406.05,365.725434153912,374.534565846088,100,364.0,24.60105935142065,312.0,422.0,360.0,329.9,412.15,359.17819236712154,368.82180763287846,100,35.22,5.881970397543307,23.0,50.0,35.0,26.0,44.05,34.067133802081514,36.37286619791848,100,-0.3204388382734291,13.471728440466949,16.686417936877664,-2.3599999999999994,101.68406593406594,20.632585509378448
31,100,733.72,41.56389264394243,636.0,836.0,728.0,677.95,815.15,725.5734770417873,741.8665229582127,100,11.84,4.937426639270888,1.0,27.0,11.0,4.95,20.049999999999997,10.872264378702905,12.807735621297095,100,12.25,3.7722404456500356,3.0,22.0,12.0,5.95,19.0,11.510640872652592,12.989359127347408,100,157.43,14.14660254747986,124.0,199.0,156.5,136.8,182.05,154.65726590069394,160.20273409930607,100,370.26,23.051816905100182,310.0,428.0,369.0,336.0,409.05,365.74184388660035,374.77815611339963,100,363.46,24.79916095028991,315.0,424.0,360.0,325.95,415.0,358.59936445374314,368.3206355462568,100,35.85,4.9713827517750495,24.0,51.0,36.0,29.0,45.099999999999994,34.87560898065209,36.824391019347914,100,-0.055848419217296996,16.13694597394101,16.69574224499809,-0.41000000000000014,101.8709073900842,21.456413890857547
32,100,735.06,42.321716373130194,622.0,840.0,733.5,676.85,812.55,726.7649435908664,743.3550564091335,100,13.2,5.310557428558719,3.0,30.0,13.0,5.0,22.0,12.159130744002491,14.240869255997508,100,11.86,3.306009221054438,5.0,20.0,12.0,6.95,18.0,11.212022192673329,12.50797780732667,100,160.86,12.939657934997644,134.0,196.0,160.0,138.95,185.05,158.32382704474048,163.39617295525954,100,371.09,23.57669410775194,310.0,427.0,370.5,332.95,410.05,366.4689679548806,375.71103204511934,100,363.97,25.413928814289573,306.0,429.0,359.0,327.7,414.0,358.9888699523993,368.95113004760077,100,37.84,6.660178661115616,26.0,54.0,37.0,27.0,50.05,36.53460498242134,39.145395017578664,100,0.18263097639426018,17.957717737327567,16.134737300356434,1.3399999999999999,101.95620518174573,21.883927842625095
33,100,739.08,43.37193618556645,626.0,854.0,740.0,678.9,824.1,730.579100507629,747.580899492371,100,15.81,6.094698805958629,3.0,38.0,15.0,7.0,24.099999999999994,14.615439034032109,17.00456096596789,100,11.79,3.7262242920612647,4.0,22.0,11.0,5.95,18.0,11.059660038755991,12.520339961244007,100,165.2,12.913073791606505,129.0,205.0,164.0,143.8,186.25,162.6690375368451,167.73096246315487,100,373.21,24.21465246373348,316.0,430.0,371.5,337.55,412.15,368.4639281171082,377.95607188289176,100,365.87,25.62143002971686,309.0,429.0,361.5,326.0,416.1,360.8481997141755,370.8918002858245,100,37.99,7.064629494813574,17.0,57.0,38.0,26.0,48.0,36.605332619016544,39.37466738098346,100,0.5468941310913467,21.391459652540995,15.952264978080857,4.020000000000001,102.00617705742476,22.35211343832873
34,100,746.74,45.74227759519589,629.0,868.0,750.0,681.85,831.15,737.7745135913416,755.7054864086584,100,19.15,6.662688206828694,5.0,39.0,19.0,9.0,30.0,17.844113111461574,20.455886888538423,100,11.49,3.211390711674664,4.0,20.0,12.0,5.95,16.0,10.860567420511765,12.119432579488235,100,169.42,15.155210458466225,129.0,223.0,168.0,147.0,195.1,166.4495787501406,172.39042124985937,100,377.41,25.31103284811554,316.0,441.0,374.5,338.7,418.2,372.4490375617694,382.37096243823066,100,369.33,26.539490301332947,313.0,432.0,367.0,330.7,419.34999999999997,364.1282599009387,374.53174009906127,100,38.75,5.65037765788869,26.0,54.0,39.0,29.0,48.0,37.642525979053815,39.857474020946185,100,1.0364236618498612,25.644802742587782,15.386881645552668,7.659999999999998,102.18774537676335,22.687950290596458
35,100,754.83,48.270922087649396,644.0,875.0,756.5,687.65,845.4499999999999,745.3688992708207,764.2911007291793,100,19.6,6.994947671662235,4.0,49.0,19.0,9.95,31.0,18.228990256354205,20.971009743645798,100,11.51,3.179781454913231,4.0,19.0,11.0,7.0,16.049999999999997,10.886762834837006,12.133237165162994,100,173.72,14.34290026036533,134.0,214.0,173.5,153.85,200.1,170.9087915489684,176.5312084510316,100,381.61,26.096129594213387,326.0,462.0,380.0,342.6,424.1,376.4951585995342,386.72484140046583,100,373.22,27.625409179290582,316.0,438.0,369.5,329.95,430.05,367.80541980085906,378.634580199141,100,38.79,6.195950127284594,28.0,59.0,38.0,29.0,49.05,37.57559377505222,40.00440622494778,100,1.083375739882686,25.966111574791675,15.248466542135315,8.090000000000002,102.24800385831412,23.01445358557556
36,100,764.44,50.657359591752126,648.0,892.0,764.5,692.8,862.05,754.5111575200167,774.3688424799834,100,20.91,7.2600957224398845,7.0,41.0,20.5,9.0,33.099999999999994,19.487021238401784,22.332978761598216,100,11.3,3.310528048453292,4.0,19.0,11.0,6.0,17.0,10.651136502503155,11.948863497496847,100,174.83,16.20328872965503,135.0,223.0,172.5,151.0,204.0,171.65415540898763,178.0058445910124,100,386.84,26.975379721351672,322.0,473.0,385.0,347.9,430.05,381.55282557461504,392.1271744253849,100,377.6,28.77042533118643,318.0,447.0,374.5,330.0,429.54999999999995,371.9609966350875,383.23900336491255,100,41.64,5.783152123612908,28.0,62.0,42.0,32.95,50.0,40.50650218377187,42.77349781622813,100,1.2731343481313662,27.353356705562238,14.782062686410967,9.61,102.44703389830508,22.87033645544451
37,100,772.81,52.658552309317535,658.0,907.0,770.0,696.65,869.25,762.4889237473737,783.1310762526261,100,19.89,6.897364450544596,7.0,37.0,19.0,9.95,32.05,18.538116567693258,21.241883432306743,100,11.52,3.5660577220184866,3.0,24.0,11.0,6.0,17.0,10.821052686484377,12.218947313515622,100,176.58,15.751337926177778,136.0,215.0,175.0,153.95,206.2,173.49273776646916,179.66726223353086,100,391.02,27.943659044729287,318.0,478.0,390.0,350.0,437.1,385.543042827233,396.49695717276694,100,381.79,29.84989213726007,325.0,455.0,376.5,334.65,439.1,375.93942114109706,387.640578858903,100,41.86,6.782359769313631,16.0,60.0,42.0,31.95,53.0,40.530657485214526,43.18934251478547,100,1.0949191565067018,25.737244600872142,14.906639406839973,8.370000000000001,102.4175593912884,22.8490832157969
38,100,779.55,53.532841803094584,666.0,925.0,774.5,698.0,879.1,769.0575630065935,790.0424369934065,100,18.86,6.5751598667049365,6.0,34.0,18.0,8.0,31.049999999999997,17.57126866612583,20.148731333874167,100,12.12,3.588083532241611,4.0,21.0,12.0,6.95,18.0,11.416735627680643,12.823264372319356,100,177.17,15.171114898804483,143.0,219.0,177.5,153.0,199.1,174.1964614798343,180.14353852016566,100,393.98,27.775063301712592,329.0,488.0,391.5,353.9,437.05,388.53608759286436,399.4239124071357,100,385.57,30.808386304165083,329.0,459.0,381.5,334.85,444.05,379.5315562843836,391.6084437156164,100,41.22,6.920296601339068,26.0,61.0,41.0,31.0,53.099999999999994,39.86362186613754,42.576378133862455,100,0.8721419236293437,24.19344493618113,15.547431210313642,6.74,102.1811862956143,22.727214418574818
39,100,786.01,54.117249252587364,668.0,930.0,782.5,705.0,881.4,775.4030191464929,796.6169808535071,100,18.86,6.948613697942369,4.0,39.0,17.0,9.95,30.0,17.498071715203295,20.221928284796704,100,12.4,3.3695007573133675,5.0,22.0,13.0,8.0,17.049999999999997,11.73957785156658,13.060422148433421,100,178.88,14.9032434948459,141.0,224.0,178.0,154.9,201.1,175.9589642750102,181.8010357249898,100,397.71,28.030032594928024,335.0,491.0,395.5,357.0,447.05,392.21611361139406,403.2038863886059,100,388.3,31.298336354922423,328.0,459.0,385.0,340.8,447.05,382.1655260744352,394.4344739255648,100,40.91,6.8299622135399725,24.0,62.0,41.0,29.95,51.05,39.57132740614616,42.24867259385383,100,0.82868321467513,23.994605666594573,15.775880713985828,6.459999999999999,102.42338398145763,22.75798017836923
40,100,792.48,54.130310409700265,672.0,932.0,787.5,715.6,888.5999999999999,781.8704591596987,803.0895408403013,100,17.82,6.2269859109647525,5.0,35.0,17.0,8.0,29.0,16.599510761450908,19.040489238549092,100,11.35,3.385575462476241,3.0,20.0,11.0,6.0,17.0,10.686427209354656,12.013572790645343,100,179.32,14.567072319433164,145.0,216.0,179.0,159.9,208.0,176.4648538253911,182.1751461746089,100,400.59,27.816532762900106,339.0,494.0,400.0,361.85,445.15,395.13795957847157,406.0420404215284,100,391.89,31.63072761244877,323.0,468.0,385.5,344.9,451.15,385.69037738796004,398.08962261203993,100,41.22,5.686382812909231,27.0,55.0,41.5,32.95,51.0,40.10546896866979,42.33453103133021,100,0.8231447437055506,22.486371895820714,14.322128003230365,6.470000000000001,102.22001071729312,22.627700383605895
41,100,797.88,56.118611759901775,672.0,948.0,794.0,719.5,899.15,786.8807520950593,808.8792479049407,100,17.34,5.915601696729034,4.0,37.0,16.5,9.95,28.0,16.18054206744111,18.49945793255889,100,11.94,3.5214207417467227,3.0,22.0,12.0,6.0,18.0,11.249801534617642,12.630198465382357,100,181.09,14.881413395456248,148.0,223.0,179.0,158.95,208.05,178.1732429744906,184.00675702550942,100,403.81,29.51790930430151,337.0,504.0,401.0,360.0,453.15,398.0244897763569,409.5955102236431,100,394.07,31.856767512785044,322.0,471.0,389.0,346.9,451.05,387.8260735674941,400.31392643250587,100,41.41,6.587553308008869,22.0,58.0,42.0,28.95,51.0,40.11883955163026,42.701160448369734,100,0.6814052089642697,21.732591367122875,14.964656339299143,5.4,102.4716420940442,22.696395447937036
42,100,801.52,56.42398658927125,671.0,944.0,797.0,717.85,914.1,790.4608986285028,812.5791013714971,100,15.62,5.771367850751402,5.0,31.0,15.0,7.0,26.049999999999997,14.488811901252724,16.751188098747274,100,11.98,3.2905742337590236,4.0,19.0,12.0,6.95,17.049999999999997,11.335047450183232,12.624952549816769,100,179.92,15.996641061564306,142.0,218.0,178.0,156.85,212.05,176.7846583519334,183.0553416480666,100,406.19,30.002927466593267,336.0,501.0,402.0,361.95,457.1,400.3094262165477,412.0705737834523,100,395.33,31.899164043383124,326.0,470.0,390.0,348.8,455.0,389.0777638474969,401.58223615250307,100,42.73,6.698190619544772,27.0,60.0,43.0,31.95,54.05,41.41715463856922,44.04284536143077,100,0.45620895372737724,19.487972851581993,14.946601457231262,3.639999999999999,102.74707206637493,22.447350034933624
43,100,805.01,57.12797878094375,675.0,946.0,796.5,726.7,918.05,793.812916158935,816.207083841065,100,15.72,6.250785809186172,1.0,31.0,15.0,6.0,26.049999999999997,14.49484598139951,16.94515401860049,100,12.23,3.8660788476912438,4.0,21.0,12.0,6.95,19.049999999999997,11.472248545852517,12.987751454147483,100,181.45,16.753335262694485,152.0,221.0,180.0,157.0,213.05,178.16634628851187,184.7336537114881,100,408.17,30.692365714152977,331.0,498.0,405.0,359.95,460.05,402.15429632002605,414.185703679974,100,396.84,32.12624088709032,324.0,472.0,391.0,349.9,457.1,390.54325678613026,403.1367432138697,100,40.86,6.663665991362745,22.0,59.0,41.0,30.0,52.0,39.5539214656929,42.1660785343071,100,0.43542269687593116,19.527707730338754,15.192357858908585,3.49,102.85505493397844,22.540092669656275
44,100,807.37,58.14639396654905,672.0,952.0,803.0,729.9,921.05,795.9733067825564,818.7666932174436,100,14.94,5.913210685072924,4.0,33.0,14.0,7.0,26.049999999999997,13.781010705725706,16.098989294274293,100,12.58,3.2973206141234175,4.0,21.0,12.0,8.0,18.049999999999997,11.93372515963181,13.22627484036819,100,183.39,14.97937639462061,152.0,222.0,182.5,162.0,215.0,180.45404222665434,186.32595777334564,100,410.11,31.422148464759918,334.0,496.0,405.0,361.95,463.25,403.9512589009071,416.26874109909295,100,397.26,32.500076145986945,325.0,472.0,391.5,351.0,459.0,390.88998507538656,403.6300149246134,100,43.11,7.363429975908035,28.0,60.0,42.0,32.0,55.0,41.66676772472202,44.55323227527798,100,0.2931640600737806,18.504527044601605,15.581455838091582,2.3599999999999994,103.234657403212,22.714492735672614
45,100,809.16,58.26892028094454,680.0,952.0,804.0,731.85,925.05,797.7392916249348,820.5807083750651,100,13.48,5.2732984713248285,2.0,25.0,13.5,5.0,22.0,12.446433499620333,14.513566500379667,100,11.69,3.5153200064111876,4.0,22.0,12.0,6.95,18.0,11.000997278743407,12.379002721256592,100,185.42,16.068778938228522,152.0,225.0,183.5,162.0,216.0,182.27051932810718,188.5694806718928,100,411.63,31.09797323611202,339.0,497.0,406.5,365.0,468.2,405.534797245722,417.725202754278,100,397.53,32.72797431907913,326.0,471.0,391.5,351.85,458.2,391.1153170334605,403.94468296653946,100,42.4,6.2667956144051224,27.0,57.0,42.0,31.95,53.05,41.171708059576595,43.6282919404234,100,0.22170751947681033,16.659251569528895,14.447080923426762,1.790000000000001,103.54690212059468,22.915121854762962
46,100,811.67,58.94117166439531,675.0,947.0,804.0,732.95,933.15,800.1175303537785,823.2224696462214,100,14.0,5.5867809346815465,2.0,25.0,14.0,5.0,24.0,12.904990936802417,15.095009063197583,100,11.49,3.427444199016774,6.0,22.0,11.0,6.95,17.0,10.818220936992713,12.161779063007288,100,186.5,16.64271005515021,148.0,229.0,187.0,161.9,216.0,183.23802882919057,189.76197117080943,100,412.93,31.791700524228368,345.0,495.0,409.5,363.95,474.29999999999995,406.69882669725126,419.16117330274875,100,398.74,32.79339056344227,330.0,474.0,394.0,351.0,461.05,392.31249544956535,405.16750455043467,100,43.68,6.867990457862688,26.0,65.0,43.0,33.95,55.14999999999999,42.33387387025891,45.02612612974109,100,0.3101982302634809,17.248389123658633,14.155999359345547,2.51,103.55870993629934,22.97731836830239
47,100,813.61,59.02026616495234,675.0,952.0,809.5,733.85,938.15,802.0420278316693,825.1779721683307,100,13.8,5.942485280851043,2.0,27.0,13.0,5.0,24.049999999999997,12.635272884953196,14.964727115046806,100,11.86,3.37255710316985,4.0,21.0,12.0,7.0,17.049999999999997,11.198978807778708,12.52102119222129,100,188.78,16.731135917531393,148.0,232.0,189.0,160.9,218.1,185.50069736016385,192.05930263983615,100,414.44,31.589961325801855,346.0,495.0,411.0,367.8,474.34999999999997,408.2483675801428,420.63163241985717,100,399.17,32.96801480222914,328.0,479.0,393.0,352.9,461.1,392.7082690987631,405.63173090123695,100,43.7,7.540463238991744,28.0,71.0,43.5,32.0,56.0,42.222069205157624,45.17793079484238,100,0.23901339214214,16.961443443418837,14.577008640503434,1.9400000000000013,103.82543778340055,23.202762994555133
48,100,816.48,60.162487053685275,681.0,958.0,809.5,733.65,942.0,804.6881525374777,828.2718474625224,100,15.02,5.212610970647352,4.0,30.0,14.0,7.95,24.049999999999997,13.998328249753119,16.04167175024688,100,12.15,3.677326103669251,5.0,23.0,12.0,6.95,18.0,11.429244083680826,12.870755916319174,100,192.55,18.153873727475666,157.0,242.0,193.0,163.9,227.1,188.9918407494148,196.10815925058523,100,416.44,31.8437853696238,345.0,499.0,414.0,368.9,481.0,410.19861806755375,422.68138193244624,100,400.04,33.76745190387939,328.0,476.0,396.0,350.0,464.2,393.4215794268397,406.65842057316036,100,43.86,7.018043124185637,30.0,66.0,42.0,35.0,59.0,42.484463547659615,45.235536452340384,100,0.35274886001892547,18.396041544189693,14.880952380952381,2.869999999999999,104.09959004099589,23.582941407015483
49,100,819.12,61.944139057996146,696.0,967.0,813.0,732.6,947.1,806.9789487446328,831.2610512553672,100,14.47,6.346008050878772,2.0,34.0,14.0,6.0,25.049999999999997,13.226182422027762,15.71381757797224,100,11.83,3.3786465522828113,5.0,18.0,12.0,7.0,18.0,11.16778527575257,12.49221472424743,100,193.7,18.275390529066648,155.0,242.0,192.0,164.0,227.0,190.11802345630292,197.28197654369706,100,417.72,32.14458497841189,353.0,504.0,414.5,370.85,481.2,411.4196613442313,424.02033865576874,100,401.4,35.51326398955634,328.0,484.0,397.5,350.85,469.1,394.43940025804693,408.360599741953,100,45.45,7.621573580198766,29.0,62.0,45.0,33.9,58.0,43.956171578281044,46.94382842171896,100,0.3233392122280909,17.665299345639223,14.442328352378162,2.6400000000000006,104.06576980568015,23.6473288407071
50,100,824.32,63.83531209845434,699.0,975.0,819.0,736.85,953.5,811.808278828703,836.8317211712971,100,17.24,5.923962637739483,5.0,37.0,17.0,9.95,27.0,16.07890332300306,18.401096676996936,100,12.04,3.074561642401936,6.0,21.0,12.0,7.95,16.049999999999997,11.43738591808922,12.642614081910779,100,196.34,18.932212941668674,154.0,241.0,195.5,167.95,227.0,192.62928626343293,200.05071373656708,100,420.86,32.10715015240517,351.0,501.0,416.5,373.85,486.0,414.5669985701286,427.15300142987144,100,403.46,37.07606704431779,328.0,492.0,398.5,348.9,474.15,396.1930908593137,410.72690914068625,100,45.18,7.165264133373597,30.0,62.0,45.5,33.95,57.05,43.775608229858776,46.584391770141224,100,0.6348276198847591,20.914208074534155,14.605978260869565,5.199999999999999,104.31269518663562,23.8184200310559
51,100,829.55,64.38887145832553,700.0,989.0,821.0,747.65,952.55,816.9297811941682,842.1702188058317,100,17.53,6.1864220824171205,7.0,38.0,17.0,8.95,27.049999999999997,16.317461271846245,18.742538728153757,100,12.3,3.4186062491706597,4.0,23.0,13.0,6.95,17.0,11.629953175162552,12.97004682483745,100,198.26,21.129050325955674,155.0,255.0,194.5,170.85,234.1,194.11870613611268,202.4012938638873,100,423.62,32.17338758487935,349.0,509.0,419.5,375.9,488.15,417.31401603336366,429.92598396663635,100,405.93,37.63494373450012,331.0,497.0,403.0,355.85,478.2,398.553551028038,413.306448971962,100,45.87,6.588411926797817,31.0,65.0,46.0,35.95,57.05,44.578671262347626,47.16132873765237,100,0.6344623447204878,21.131939003073956,14.82731601470677,5.23,104.35789421821495,23.899704659152555
52,100,835.29,66.07530063144134,711.0,1005.0,827.0,753.5,954.5999999999999,822.3392410762375,848.2407589237624,100,17.35,5.961789101681583,3.0,42.0,18.0,7.95,27.0,16.18148933607041,18.518510663929593,100,11.61,4.36444542162963,2.0,26.0,12.0,4.95,18.0,10.754568697360591,12.465431302639407,100,200.31,19.46335328796457,157.0,261.0,198.0,176.85,237.14999999999998,196.49518275555894,204.12481724444106,100,426.65,33.22600144039562,352.0,519.0,421.5,378.9,491.05,420.1377037176824,433.1622962823175,100,408.64,38.15876456505521,334.0,504.0,403.5,359.95,483.29999999999995,401.16088214524916,416.1191178547508,100,46.28,6.9617715149423445,32.0,65.0,45.0,37.0,58.0,44.9154927830713,47.6445072169287,100,0.6919414140196478,20.771229153946535,13.899364292640879,5.740000000000002,104.40730227094753,23.98089286355637
53,100,840.48,66.49834508459516,718.0,1020.0,832.5,759.0,964.9,827.4463243634194,853.5136756365806,100,17.0,6.101829498791591,6.0,31.0,16.0,9.0,28.0,15.804041418236848,18.19595858176315,100,11.81,3.44566775279136,5.0,22.0,12.0,7.0,17.049999999999997,11.134649120452893,12.485350879547108,100,201.95,19.70611093241911,165.0,274.0,201.0,171.9,237.2,198.08760225724583,205.81239774275414,100,429.43,33.08490912971067,360.0,520.0,425.5,382.95,495.15,422.9453578105767,435.9146421894233,100,411.05,38.40806286353548,338.0,510.0,405.5,359.95,480.2,403.5220196787471,418.57798032125294,100,47.54,7.529631699847845,30.0,69.0,47.5,35.9,61.0,46.06419218682982,49.01580781317018,100,0.6213410911180661,20.22653721682848,14.051494384161431,5.1899999999999995,104.47147548959981,24.02793641728536
